coreid,type,identifier,license
ec926706-9495-44ac-a6b3-ce2c1dcf22c8,,https://zenodo.org/record/2686762/files/CAM008715_d.JPG,
75ae1f7c-9936-4b71-acbb-c7cc684e50a4,,https://zenodo.org/record/2684906/files/CAM008047_d.JPG,
552b5b76-1689-489b-a8ef-28babf52ebd5,,https://zenodo.org/record/2684906/files/CAM008007_d.JPG,
f46c9030-77cd-4696-b670-ba846da6843e,,https://zenodo.org/record/2686762/files/CAM009034_d.JPG,
3408334b-ed91-4b66-b5cf-121f8cf15c1e,,https://zenodo.org/record/2686762/files/CAM008752_v.JPG,
0cbf3f52-ae66-48ac-9e25-6f2cab1e35ec,,https://zenodo.org/record/2677821/files/CAM000153_d.JPG,
6cfdfc51-f345-489b-afd2-6797d9be979f,,https://zenodo.org/record/2684906/files/CAM008179_v.JPG,
3583bbf7-1247-4f29-86b7-f1019619f44e,,https://zenodo.org/record/2684906/files/CAM008155_v.JPG,
457ed226-3d80-4fb4-b49d-95c7fab7e683,,https://zenodo.org/record/2684906/files/CAM008122_v.JPG,
6a013a68-098a-4e2e-b52e-6c3cc78b407e,,https://zenodo.org/record/2686762/files/CAM009228_v.JPG,
6208fecb-64ee-413d-82b0-494fe4db7ded,,https://zenodo.org/record/2686762/files/CAM009234_d.JPG,
a9feffd0-6dea-4990-905e-d4adef6f3006,,https://zenodo.org/record/2686762/files/CAM008706_d.JPG,
751b3505-035b-4a99-9efc-2883711bf6e9,,https://zenodo.org/record/2714333/files/CAM041150_d.JPG,
5ef7fe5f-13c1-47f5-b322-a8996ba0a885,,https://zenodo.org/record/2552371/files/8569v.jpg,
1b38bd64-28bc-4724-9365-282c80d95a8d,,https://zenodo.org/record/2684906/files/CAM008384_d.JPG,
904e3b50-88dc-42c8-9ef9-8db9e143f72c,,https://zenodo.org/record/2684906/files/CAM008288_v.JPG,
4ffa62f9-6600-4644-a988-82098a9025fe,,https://zenodo.org/record/2714333/files/CAM041059_d.JPG,
a68c6762-82d8-421f-a35d-e528a4f30c1a,,https://zenodo.org/record/2714333/files/CAM041094_d.JPG,
cdf515e4-3a2f-4731-bb03-7c23903dd101,,https://zenodo.org/record/2677821/files/CAM000485_v.JPG,
aa211d38-29cc-4f5c-a9dc-b5dc8c3833b6,,https://zenodo.org/record/2677821/files/CAM000194_v.JPG,
2602a238-5654-4a25-a224-eadacc0ab147,,https://zenodo.org/record/2707828/files/CAM040540_d.JPG,
35aad00e-e45a-44b6-88b6-cb970463fa23,,https://zenodo.org/record/2707828/files/CAM040062_v.JPG,
4688edf6-f9ce-42e0-9410-225baf9b5e17,,https://zenodo.org/record/2714333/files/CAM040971_v.JPG,
3c5c8637-37b3-422a-aacc-a10318bce45b,,https://zenodo.org/record/2702457/files/CAM021204_d.JPG,
f522069c-1f71-4714-a9dd-75877bfe3b73,,https://zenodo.org/record/2686762/files/CAM008870_v.JPG,
1b9f7612-8c8c-4730-bdcf-9a62a928752c,,https://zenodo.org/record/2686762/files/CAM008645_d.JPG,
dc069d29-308b-45a4-a955-c162fdef5b11,,https://zenodo.org/record/2702457/files/CAM021205_v.JPG,
3dfd483e-8a85-4f65-94dd-771e91e59907,,https://zenodo.org/record/2714333/files/CAM041002_d.JPG,
e4780e64-17da-4eba-8d41-cea7b193c318,,https://zenodo.org/record/2684906/files/CAM008174_d.JPG,
8c130985-b415-40b7-849a-854f53dc89f8,,https://zenodo.org/record/2684906/files/CAM008490_v.JPG,
da5276b5-916a-48f3-992d-5d398ca8b596,,https://zenodo.org/record/2707828/files/CAM040210_d.JPG,
40fc3051-bb14-4674-a341-a08cbdf22004,,https://zenodo.org/record/2707828/files/CAM040299_v.JPG,
45c04824-dd18-4325-9a71-71ee9bbb25cd,,https://zenodo.org/record/2684906/files/CAM008110_v.JPG,
08c8fec4-476e-43ef-b0c6-97eec3306faf,,https://zenodo.org/record/2707828/files/CAM040053_d.JPG,
d96c541b-5124-46d3-bc02-a2d46a1a776e,,https://zenodo.org/record/2677821/files/CAM000174_v.JPG,
c7b91acb-3cd2-423f-81b2-0d279b999fe3,,https://zenodo.org/record/2707828/files/CAM040642_v.JPG,
d6acac34-3553-4444-bbc9-af3e20e3356f,,https://zenodo.org/record/2677821/files/CAM000468_d.JPG,
b947efe3-9de9-43d8-ac91-bdd8105e7a90,,https://zenodo.org/record/2677821/files/CAM000353_d.JPG,
1471430e-0338-4da2-8354-1b52948c95fd,,https://zenodo.org/record/2714333/files/CAM040882_v.JPG,
97634204-c364-464f-9442-44b9f3af871f,,https://zenodo.org/record/2707828/files/CAM040354_d.JPG,
7ebb19c4-abca-4c23-a04f-27b96324f7be,,https://zenodo.org/record/2714333/files/CAM040744_v.JPG,
8ec78577-84c4-4ef6-a48f-01e899e5e4ad,,https://zenodo.org/record/2677821/files/CAM000299_v.JPG,
2ed24666-8367-4866-a8b6-31437db2e97e,,https://zenodo.org/record/2707828/files/CAM040315_v.JPG,
a03bf0d2-4382-438c-a5fb-c2fdd7537002,,https://zenodo.org/record/2677821/files/CAM000132_d.JPG,
b4989d1a-d87e-46a6-8b02-c451e86d1209,,https://zenodo.org/record/2714333/files/CAM040972_v.JPG,
