id,occurrenceID,catalogNumber,datasetName,recordNumber,otherCatalogNumbers,basisOfRecord,eventDate,locality,country,decimalLatitude,decimalLongitude,geodeticDatum,year,sex,lifeStage,recordedBy,individualCount,taxonId,scientificName,scientificNameAuthorship,taxonRank,genus,family,order,class,kingdom,coordinateUncertaintyInMeters,dynamicProperties
0d7c17f9-bb00-41d1-ba00-50bb44e5d27f,0d7c17f9-bb00-41d1-ba00-50bb44e5d27f,CAM120283,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-10-28,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Male,,,1,,Hypothyris anastasia ssp. honesta,,Subspecies,Hypothyris,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0d838ccd-8cff-4f12-a541-3b99b05f7589,0d838ccd-8cff-4f12-a541-3b99b05f7589,CAM008751,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-28,"Puente Aguas Verdes, above Rioja ,",Peru,-5.6846,-77.6576,4326,2002,Female,,,1,,Eueides sp.,,Species,Eueides,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0d8ade2d-17b2-4f02-898d-c09b7b109836,0d8ade2d-17b2-4f02-898d-c09b7b109836,CAM009176,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2007-12-13,"El Topo, Baños - Puyo road,",Ecuador,-1.39801,-78.17813,4326,2007,Male,,,1,1900725,Heliconius timareta,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0d8e5dcf-15bb-45a4-a60e-03c8aae4f8bf,0d8e5dcf-15bb-45a4-a60e-03c8aae4f8bf,CAM040133,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-01-18,Finca el Escondite,Colombia,0.79536,-76.58573,4326,2017,Male,,,1,,Heliconius erato ssp. lativitta,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0d9f4f77-8d31-487f-a351-61dc03d68542,0d9f4f77-8d31-487f-a351-61dc03d68542,CAM040533,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,Nanegal to Marianita,Ecuador,0.135,-78.66544,4326,,Female,,,1,1900565,Heliconius atthis,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0da86f33-f0e1-481f-87a0-070e0fe4c0c5,0da86f33-f0e1-481f-87a0-070e0fe4c0c5,CAM040380,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-02-07,"El Tortugo, P25",Ecuador,0.20773,-78.94691,4326,2017,Male,,,1,,Heliconius erato ssp. cyrbia,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0dde16a0-c922-4659-b4b7-7d94049b9e96,0dde16a0-c922-4659-b4b7-7d94049b9e96,CAM018042,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2011-03-20,Puerta Lara,Panamá,8.61355,-78.13982,4326,2011,,,,1,,Heliconius erato ssp. hydara,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e10ef91-12ea-49fc-a3a1-a392ec68c89a,0e10ef91-12ea-49fc-a3a1-a392ec68c89a,CAM020856,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-12-13,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Male,,,1,,Mechanitis mazaeus ssp. mazaeus,,Subspecies,Mechanitis,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e20b9ab-efb7-488a-bfe5-4af5907948f0,0e20b9ab-efb7-488a-bfe5-4af5907948f0,CAM120215,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-10-11,Napo Wildlife Center tiputini trail ECD OR,Ecuador,-0.5293,-76.417,4326,2005,Female,,,1,,Ceratinia tutia ssp. poecila,,Subspecies,Ceratinia,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e2674b8-bf9e-41c5-a952-bd65e40850ed,0e2674b8-bf9e-41c5-a952-bd65e40850ed,CAM008386,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-08-31,"Quebrada Hornito Trail, Fortuna,",Panamá,8.6928,-82.2245,4326,2001,Female,,,1,1895200,Greta nero,,Species,Greta,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
